person_idx,role,travel_path
947,dc_driver,"['411', '20066', '19768', '19764', '20065', '20064', '20063', '65808', '7510', '80716', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
1232,dc_passenger,"['411', '20066', '19768', '19764', '20065', '20064', '20063', '65808', '7510', '80716', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
566,sov,"['411', '20066', '19768', '19764', '20065', '20064', '20063', '65808', '7510', '80716', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
244,sov,"['1950', '72289', '12728', '14049', '12700', '11321', '13795', '13600', '12749', '83317', '12558', '12561', '12555', '12557', '12552', '12553', '12750', '12549', '80128', '12751', '12538', '12306', '12536', '12313', '80065', '12537', '12308', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
1211,sov,"['150', '10731', '10732', '36355', '80502', '10710', '80503', '10709', '10708', '80508', '10707', '10706', '10705', '14745', '10704', '32116', '32115', '10173', '9934', '83458', '83423', '14395', '83430', '9935', '83459', '9958', '84985', '9938', '9939', '9940', '14587', '13640', '13642', '13644', '13646', '13650', '13679', '13652', '13654', '83212', '13657', '19953', '79139', '79144', '79146', '7867', '7868', '7871', '13230', '7872', '7873', '8050', '79209', '8152', '7857', '79208', '20275', '20369', '15268', '20276', '484']"
1346,sov,"['3244', '64456', '15712', '16815', '13061', '24984', '36865', '13067', '65963', '13024', '24981', '14710', '24976', '36864', '14938', '36862', '16784', '78363', '14705', '65962', '16753', '36847', '81197', '16748', '73459', '16746', '16744', '16738', '81195', '16737', '65505', '81194', '9608', '81192', '9681', '9682', '78007', '78006', '9683', '32073', '78005', '9680', '9744', '9666', '81997', '9686', '9687', '81960', '82195', '9688', '9689', '15243', '65483', '9380', '25476', '9026', '9023', '9024', '9005', '9006', '9007', '81972', '9008', '9009', '7533', '9033', '9010', '9011', '9012', '81983', '13891', '19501', '14810', '78205', '7717', '14676', '79330', '7720', '7721', '7722', '79346', '7580', '7579', '20300', '19840', '79302', '36287', '19841', '19842', '79301', '19843', '19844', '19845', '64136', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
553,sov,"['517', '19995', '79188', '19994', '79201', '19993', '20040', '79202', '65820', '19992', '19991', '25376', '19990', '20392', '79224', '22612', '13992', '25374', '19988', '28104', '19987', '83066', '19986', '19985', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
921,sov,"['176', '32202', '10751', '80533', '13277', '74125', '25411', '10750', '10749', '80537', '13279', '10748', '13273', '36360', '14352', '10740', '10698', '18252', '10701', '80456', '80457', '10702', '9932', '9933', '9947', '9934', '83458', '83423', '14395', '83430', '9935', '83459', '9958', '84985', '9938', '9939', '9940', '14587', '13640', '13642', '13644', '13646', '13650', '13679', '13652', '13654', '83212', '13657', '19953', '79139', '79144', '79146', '7867', '7868', '7871', '13230', '7872', '7873', '8050', '79209', '8152', '7857', '79208', '20275', '20369', '15268', '20276', '484']"
1438,sov,"['2309', '80212', '18444', '9856', '9819', '9825', '18443', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
329,sov,"['3028', '25070', '10867', '32287', '10924', '10925', '10929', '11083', '81642', '81643', '32356', '11052', '64356', '1832', '64357', '64358', '65536', '11000', '81995', '10999', '11068', '10998', '10997', '10996', '81654', '32342', '15258', '81652', '18105', '11005', '9453', '9452', '74373', '9451', '9450', '81924', '9449', '9448', '81922', '9447', '14930', '81923', '9446', '9445', '81929', '14407', '9413', '15297', '9405', '9414', '9157', '9335', '9334', '9333', '9332', '81911', '9331', '78028', '78027', '14922', '25442', '9330', '40096', '28090', '78029', '9329', '78037', '78038', '78039', '9311', '25465', '9328', '9327', '78068', '9326', '9379', '28089', '9512', '15298', '40097', '9378', '15301', '25445', '9120', '78058', '9182', '78056', '9181', '9180', '13675', '13676', '19572', '19621', '14912', '19602', '64193', '20412', '79243', '79244', '79245', '79246', '20413', '79241', '20414', '20415', '79240', '20416', '25368', '20417', '64067', '7610', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
